ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	term	Ont
GO:0009166	GO:0009166	2/192	33/11754	0.100846896	0.856927543	0.856927543	NUDT9/PDE5A	2	nucleotide catabolic process	BP
GO:0014896	GO:0014896	2/192	33/11754	0.100846896	0.856927543	0.856927543	PDE5A/TRPC3	2	muscle hypertrophy	BP
GO:0014897	GO:0014897	2/192	33/11754	0.100846896	0.856927543	0.856927543	PDE5A/TRPC3	2	striated muscle hypertrophy	BP
GO:0019083	GO:0019083	2/192	33/11754	0.100846896	0.856927543	0.856927543	LARP7/REST	2	viral transcription	BP
GO:0031638	GO:0031638	2/192	33/11754	0.100846896	0.856927543	0.856927543	FGF2/PRSS12	2	zymogen activation	BP
GO:0043407	GO:0043407	2/192	33/11754	0.100846896	0.856927543	0.856927543	PAQR3/SPRY1	2	negative regulation of MAP kinase activity	BP
GO:0048286	GO:0048286	2/192	33/11754	0.100846896	0.856927543	0.856927543	HOPX/SLC7A11	2	lung alveolus development	BP
GO:0060038	GO:0060038	2/192	33/11754	0.100846896	0.856927543	0.856927543	FGF2/SMAD1	2	cardiac muscle cell proliferation	BP
GO:0070098	GO:0070098	2/192	33/11754	0.100846896	0.856927543	0.856927543	CXCL13/IL8L2	2	chemokine-mediated signaling pathway	BP
GO:0060326	GO:0060326	5/192	151/11754	0.101431733	0.856927543	0.856927543	CXCL13/FGF2/GAB1/IL8L2/STAP1	5	cell chemotaxis	BP
GO:0032259	GO:0032259	5/192	152/11754	0.10357313	0.856927543	0.856927543	LARP7/METTL14/PRMT9/SETD7/SMARCA5	5	methylation	BP
GO:0030900	GO:0030900	7/192	244/11754	0.105269375	0.856927543	0.856927543	FAT4/FGF2/METTL14/NDNF/PRDM8/SLC7A11/UBA6	7	forebrain development	BP
GO:0072006	GO:0072006	4/192	110/11754	0.105684979	0.856927543	0.856927543	EDNRA/FAT4/FGF2/PKD2	4	nephron development	BP
GO:0009994	GO:0009994	2/192	34/11754	0.106043148	0.856927543	0.856927543	EDNRA/PDE5A	2	oocyte differentiation	BP
GO:0030901	GO:0030901	2/192	34/11754	0.106043148	0.856927543	0.856927543	FGF2/SMAD1	2	midbrain development	BP
GO:0042054	GO:0042054	2/192	34/11754	0.106043148	0.856927543	0.856927543	PRDM8/SETD7	2	histone methyltransferase activity	MF
GO:1904427	GO:1904427	2/192	34/11754	0.106043148	0.856927543	0.856927543	PKD2/TRPC3	2	positive regulation of calcium ion transmembrane transport	BP
GO:0051347	GO:0051347	8/192	292/11754	0.106049393	0.856927543	0.856927543	AREG/EPGN/EREG/FGF2/HNRNPD/PDE5A/PKD2/TNKS	8	positive regulation of transferase activity	BP
GO:0002753	GO:0002753	3/192	70/11754	0.1064604	0.856927543	0.856927543	ALPK1/ANKRD17/TIFA	3	cytosolic pattern recognition receptor signaling pathway	BP
GO:0062207	GO:0062207	3/192	70/11754	0.1064604	0.856927543	0.856927543	ANKRD17/MFHAS1/OTUD4	3	regulation of pattern recognition receptor signaling pathway	BP
GO:0001525	GO:0001525	8/192	294/11754	0.109138786	0.856927543	0.856927543	EDNRA/EPGN/FGF2/GAB1/HPSE/IL8L2/NDNF/SMAD1	8	angiogenesis	BP
GO:0060759	GO:0060759	3/192	71/11754	0.109890691	0.856927543	0.856927543	OTUD4/PPP2CB/STAP1	3	regulation of response to cytokine stimulus	BP
GO:0044782	GO:0044782	7/192	247/11754	0.110372126	0.856927543	0.856927543	ALPK1/BBS12/BBS7/INTU/PKD2/PLK4/TTC29	7	cilium organization	BP
GO:0004518	GO:0004518	4/192	112/11754	0.110976962	0.856927543	0.856927543	CNOT6L/ERI1/NOCT/WRN	4	nuclease activity	MF
GO:0000307	GO:0000307	2/192	35/11754	0.11131007	0.856927543	0.856927543	CCNA2/CCNI	2	cyclin-dependent protein kinase holoenzyme complex	CC
GO:0001885	GO:0001885	2/192	35/11754	0.11131007	0.856927543	0.856927543	EDNRA/HPSE	2	endothelial cell development	BP
GO:0030120	GO:0030120	2/192	35/11754	0.11131007	0.856927543	0.856927543	SEC24D/SEC31A	2	vesicle coat	CC
GO:0033293	GO:0033293	2/192	35/11754	0.11131007	0.856927543	0.856927543	ALB/FABP2	2	monocarboxylic acid binding	MF
GO:0051653	GO:0051653	2/192	35/11754	0.11131007	0.856927543	0.856927543	MAD2L1/SPRY1	2	spindle localization	BP
GO:0055017	GO:0055017	2/192	35/11754	0.11131007	0.856927543	0.856927543	FGF2/SMAD1	2	cardiac muscle tissue growth	BP
GO:0060170	GO:0060170	2/192	35/11754	0.11131007	0.856927543	0.856927543	BBS7/PKD2	2	ciliary membrane	CC
GO:0060612	GO:0060612	2/192	35/11754	0.11131007	0.856927543	0.856927543	PGRMC2/POU4F2	2	adipose tissue development	BP
GO:0005262	GO:0005262	3/192	72/11754	0.11336331	0.856927543	0.856927543	ANXA5/PKD2/TRPC3	3	calcium channel activity	MF
GO:0006029	GO:0006029	3/192	72/11754	0.11336331	0.856927543	0.856927543	HPSE/NDNF/NDST3	3	proteoglycan metabolic process	BP
GO:0045860	GO:0045860	6/192	203/11754	0.115567734	0.856927543	0.856927543	AREG/EPGN/EREG/FGF2/PDE5A/PKD2	6	positive regulation of protein kinase activity	BP
GO:0002224	GO:0002224	2/192	36/11754	0.116643997	0.856927543	0.856927543	OTUD4/TNIP3	2	toll-like receptor signaling pathway	BP
GO:0034308	GO:0034308	2/192	36/11754	0.116643997	0.856927543	0.856927543	NAAA/REST	2	primary alcohol metabolic process	BP
GO:0043616	GO:0043616	2/192	36/11754	0.116643997	0.856927543	0.856927543	EREG/INTU	2	keratinocyte proliferation	BP
GO:0048255	GO:0048255	2/192	36/11754	0.116643997	0.856927543	0.856927543	HNRNPD/NOCT	2	mRNA stabilization	BP
GO:0062208	GO:0062208	2/192	36/11754	0.116643997	0.856927543	0.856927543	ANKRD17/MFHAS1	2	positive regulation of pattern recognition receptor signaling pathway	BP
GO:0006874	GO:0006874	5/192	158/11754	0.11688694	0.856927543	0.856927543	ANK2/EDNRA/FGF2/PKD2/SLC10A7	5	intracellular calcium ion homeostasis	BP
GO:0006814	GO:0006814	4/192	115/11754	0.119132163	0.856927543	0.856927543	EDNRA/PKD2/SLC10A7/SLC4A4	4	sodium ion transport	BP
GO:0003729	GO:0003729	5/192	159/11754	0.119181939	0.856927543	0.856927543	EXOSC9/G3BP2/LARP7/METTL14/NOCT	5	mRNA binding	MF
GO:0001822	GO:0001822	6/192	205/11754	0.119554018	0.856927543	0.856927543	EDNRA/FAT4/FGF2/PKD2/SMAD1/SPRY1	6	kidney development	BP
GO:0051592	GO:0051592	3/192	74/11754	0.120431934	0.856927543	0.856927543	PKD2/SEC31A/TRPC3	3	response to calcium ion	BP
GO:0072080	GO:0072080	3/192	74/11754	0.120431934	0.856927543	0.856927543	FAT4/FGF2/PKD2	3	nephron tubule development	BP
GO:0000381	GO:0000381	2/192	37/11754	0.122041364	0.856927543	0.856927543	REST/YTHDC1	2	"regulation of alternative mRNA splicing, via spliceosome"	BP
GO:0001673	GO:0001673	2/192	37/11754	0.122041364	0.856927543	0.856927543	ADAD1/ANKRD17	2	male germ cell nucleus	CC
GO:0006900	GO:0006900	2/192	37/11754	0.122041364	0.856927543	0.856927543	SEC24D/SEC31A	2	vesicle budding from membrane	BP
GO:0021872	GO:0021872	2/192	37/11754	0.122041364	0.856927543	0.856927543	METTL14/NDNF	2	forebrain generation of neurons	BP
GO:0031593	GO:0031593	2/192	37/11754	0.122041364	0.856927543	0.856927543	FAM175A/TNIP3	2	polyubiquitin modification-dependent protein binding	MF
GO:0032414	GO:0032414	2/192	37/11754	0.122041364	0.856927543	0.856927543	EDNRA/PKD2	2	positive regulation of ion transmembrane transporter activity	BP
GO:0042246	GO:0042246	2/192	37/11754	0.122041364	0.856927543	0.856927543	FGF2/HOPX	2	tissue regeneration	BP
GO:0051279	GO:0051279	2/192	37/11754	0.122041364	0.856927543	0.856927543	ANK2/PKD2	2	regulation of release of sequestered calcium ion into cytosol	BP
GO:0071806	GO:0071806	2/192	37/11754	0.122041364	0.856927543	0.856927543	EDNRA/HPSE	2	protein transmembrane transport	BP
GO:0098781	GO:0098781	3/192	75/11754	0.124026132	0.856927543	0.856927543	LARP7/REST/SMAD1	3	ncRNA transcription	BP
GO:0008285	GO:0008285	11/192	454/11754	0.124593608	0.856927543	0.856927543	EREG/FGF2/IL8L2/INTU/NUDT6/PAQR3/PDE5A/REST/SMAD1/SPRY1/STAP1	11	negative regulation of cell population proliferation	BP
GO:0016571	GO:0016571	2/192	38/11754	0.127498705	0.856927543	0.856927543	SETD7/SMARCA5	2	histone methylation	BP
GO:0070373	GO:0070373	2/192	38/11754	0.127498705	0.856927543	0.856927543	DUSP4/SPRY1	2	negative regulation of ERK1 and ERK2 cascade	BP
GO:2000134	GO:2000134	2/192	38/11754	0.127498705	0.856927543	0.856927543	JADE1/PKD2	2	negative regulation of G1/S transition of mitotic cell cycle	BP
GO:0007292	GO:0007292	3/192	76/11754	0.127659044	0.856927543	0.856927543	EDNRA/PDE5A/YTHDC1	3	female gamete generation	BP
GO:0038127	GO:0038127	3/192	76/11754	0.127659044	0.856927543	0.856927543	AREG/EPGN/EREG	3	ERBB signaling pathway	BP
GO:0050684	GO:0050684	3/192	76/11754	0.127659044	0.856927543	0.856927543	LARP7/REST/YTHDC1	3	regulation of mRNA processing	BP
GO:0051087	GO:0051087	3/192	76/11754	0.127659044	0.856927543	0.856927543	ALB/PPEF2/SCARB2	3	protein-folding chaperone binding	MF
GO:0045087	GO:0045087	8/192	306/11754	0.128699137	0.856927543	0.856927543	ALPK1/ANKRD17/EREG/JCHAIN/MFHAS1/OTUD4/TIFA/TNIP3	8	innate immune response	BP
GO:0051651	GO:0051651	4/192	119/11754	0.130396273	0.856927543	0.856927543	ALB/ANK2/FGF2/PKD2	4	maintenance of location in cell	BP
GO:0043123	GO:0043123	3/192	77/11754	0.131329757	0.856927543	0.856927543	ALPK1/ANKRD17/TIFA	3	positive regulation of canonical NF-kappaB signal transduction	BP
GO:0031329	GO:0031329	9/192	358/11754	0.132423426	0.856927543	0.856927543	CNOT6L/EXOSC9/GRSF1/HNRNPD/METTL14/MFSD8/NOCT/SLC4A4/YTHDC1	9	regulation of cellular catabolic process	BP
GO:0048514	GO:0048514	9/192	358/11754	0.132423426	0.856927543	0.856927543	EDNRA/EPGN/FGF2/GAB1/HPSE/IL8L2/NDNF/PKD2/SMAD1	9	blood vessel morphogenesis	BP
GO:0001942	GO:0001942	2/192	39/11754	0.133012648	0.856927543	0.856927543	HPSE/INTU	2	hair follicle development	BP
GO:0008188	GO:0008188	2/192	39/11754	0.133012648	0.856927543	0.856927543	NPFFR2/QRFPR	2	neuropeptide receptor activity	MF
GO:0010827	GO:0010827	2/192	39/11754	0.133012648	0.856927543	0.856927543	EDNRA/POU4F2	2	regulation of glucose transmembrane transport	BP
GO:0044183	GO:0044183	2/192	39/11754	0.133012648	0.856927543	0.856927543	CLGN/HSPA4L	2	protein folding chaperone	MF
GO:0050818	GO:0050818	2/192	39/11754	0.133012648	0.856927543	0.856927543	ANXA5/HPSE	2	regulation of coagulation	BP
GO:0060419	GO:0060419	2/192	39/11754	0.133012648	0.856927543	0.856927543	FGF2/SMAD1	2	heart growth	BP
GO:1905515	GO:1905515	2/192	39/11754	0.133012648	0.856927543	0.856927543	BBS7/INTU	2	non-motile cilium assembly	BP
GO:0043122	GO:0043122	4/192	120/11754	0.133279565	0.856927543	0.856927543	ALPK1/ANKRD17/TIFA/TNIP3	4	regulation of canonical NF-kappaB signal transduction	BP
GO:0040008	GO:0040008	8/192	309/11754	0.133858051	0.856927543	0.856927543	EXOSC9/FGF2/HOPX/IGFBP7/JADE1/PLACL2/POU4F2/WRN	8	regulation of growth	BP
GO:0006661	GO:0006661	3/192	78/11754	0.135037358	0.856927543	0.856927543	CDS1/FGF2/INPP4B	3	phosphatidylinositol biosynthetic process	BP
GO:0060993	GO:0060993	3/192	78/11754	0.135037358	0.856927543	0.856927543	FAT4/FGF2/PKD2	3	kidney morphogenesis	BP
GO:0044772	GO:0044772	7/192	262/11754	0.137801749	0.856927543	0.856927543	ANKRD17/CCNA2/CCNI/FAM175A/JADE1/MAD2L1/PKD2	7	mitotic cell cycle phase transition	BP
GO:0048193	GO:0048193	5/192	167/11754	0.138291337	0.856927543	0.856927543	RAB33B/SEC24D/SEC31A/SLC10A7/USO1	5	Golgi vesicle transport	BP
GO:0000271	GO:0000271	2/192	40/11754	0.138579912	0.856927543	0.856927543	NDST3/PPP1R3B	2	polysaccharide biosynthetic process	BP
GO:0003678	GO:0003678	2/192	40/11754	0.138579912	0.856927543	0.856927543	HELQ/WRN	2	DNA helicase activity	MF
GO:0006414	GO:0006414	2/192	40/11754	0.138579912	0.856927543	0.856927543	ABCE1/RCHY1	2	translational elongation	BP
GO:0070972	GO:0070972	2/192	40/11754	0.138579912	0.856927543	0.856927543	ANK2/SRP72	2	protein localization to endoplasmic reticulum	BP
GO:1902807	GO:1902807	2/192	40/11754	0.138579912	0.856927543	0.856927543	JADE1/PKD2	2	negative regulation of cell cycle G1/S phase transition	BP
GO:1990868	GO:1990868	2/192	40/11754	0.138579912	0.856927543	0.856927543	CXCL13/IL8L2	2	response to chemokine	BP
GO:1990869	GO:1990869	2/192	40/11754	0.138579912	0.856927543	0.856927543	CXCL13/IL8L2	2	cellular response to chemokine	BP
GO:0007043	GO:0007043	3/192	79/11754	0.138780934	0.856927543	0.856927543	CLDN23/HOPX/UGT8	3	cell-cell junction assembly	BP
GO:0061326	GO:0061326	3/192	79/11754	0.138780934	0.856927543	0.856927543	FAT4/FGF2/PKD2	3	renal tubule development	BP
GO:1903169	GO:1903169	3/192	79/11754	0.138780934	0.856927543	0.856927543	ANK2/PKD2/TRPC3	3	regulation of calcium ion transmembrane transport	BP
GO:0010564	GO:0010564	10/192	413/11754	0.139164982	0.856927543	0.856927543	ANKRD17/EPGN/EREG/FAM175A/JADE1/MAD2L1/PKD2/PLK4/SMARCA5/TNKS	10	regulation of cell cycle process	BP
GO:0042692	GO:0042692	6/192	215/11754	0.140487604	0.856927543	0.856927543	ANKRD17/EDNRA/EREG/HOPX/MYOZ2/SMAD1	6	muscle cell differentiation	BP
GO:0072001	GO:0072001	6/192	215/11754	0.140487604	0.856927543	0.856927543	EDNRA/FAT4/FGF2/PKD2/SMAD1/SPRY1	6	renal system development	BP
GO:0001568	GO:0001568	10/192	414/11754	0.140699968	0.856927543	0.856927543	ANKRD17/EDNRA/EPGN/FGF2/GAB1/HPSE/IL8L2/NDNF/PKD2/SMAD1	10	blood vessel development	BP
GO:0034097	GO:0034097	10/192	415/11754	0.142243881	0.856927543	0.856927543	CXCL13/EREG/IL15/IL8L2/OTUD4/POU4F2/PPP2CB/PRDM5/SMARCA5/STAP1	10	response to cytokine	BP
GO:0055117	GO:0055117	2/192	41/11754	0.144197311	0.856927543	0.856927543	ANK2/PDE5A	2	regulation of cardiac muscle contraction	BP
GO:0002684	GO:0002684	11/192	468/11754	0.144369871	0.856927543	0.856927543	ALPK1/ANKRD17/EREG/IL15/IL2/MFHAS1/OTUD4/POU4F2/STAP1/TIFA/TNIP3	11	positive regulation of immune system process	BP
GO:0071695	GO:0071695	4/192	124/11754	0.145070255	0.856927543	0.856927543	ANKRD17/EDNRA/FAT4/IL15	4	anatomical structure maturation	BP
GO:1903522	GO:1903522	4/192	124/11754	0.145070255	0.856927543	0.856927543	ANK2/EDNRA/HOPX/PDE5A	4	regulation of blood circulation	BP
GO:0008528	GO:0008528	3/192	81/11754	0.146372347	0.856927543	0.856927543	EDNRA/NPFFR2/QRFPR	3	G protein-coupled peptide receptor activity	MF
GO:0000377	GO:0000377	5/192	171/11754	0.148324997	0.856927543	0.856927543	LARP7/LSM6/METTL14/REST/YTHDC1	5	"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	BP
GO:0000398	GO:0000398	5/192	171/11754	0.148324997	0.856927543	0.856927543	LARP7/LSM6/METTL14/REST/YTHDC1	5	"mRNA splicing, via spliceosome"	BP
GO:0005509	GO:0005509	10/192	419/11754	0.14850813	0.856927543	0.856927543	ANXA5/CETN1/CLGN/FAT4/PCDH10/PCDH18/PKD2/PPEF2/SPARCL1/TBC1D9	10	calcium ion binding	MF
GO:0016765	GO:0016765	2/192	42/11754	0.149861746	0.856927543	0.856927543	COQ2/MGST2	2	"transferase activity, transferring alkyl or aryl (other than methyl) groups"	MF
GO:0022404	GO:0022404	2/192	42/11754	0.149861746	0.856927543	0.856927543	HPSE/INTU	2	molting cycle process	BP
GO:0022405	GO:0022405	2/192	42/11754	0.149861746	0.856927543	0.856927543	HPSE/INTU	2	hair cycle process	BP
GO:0030145	GO:0030145	2/192	42/11754	0.149861746	0.856927543	0.856927543	PPEF2/WRN	2	manganese ion binding	MF
GO:0030593	GO:0030593	2/192	42/11754	0.149861746	0.856927543	0.856927543	CXCL13/IL8L2	2	neutrophil chemotaxis	BP
GO:1901292	GO:1901292	2/192	42/11754	0.149861746	0.856927543	0.856927543	NUDT9/PDE5A	2	nucleoside phosphate catabolic process	BP
GO:0000375	GO:0000375	5/192	172/11754	0.150881029	0.856927543	0.856927543	LARP7/LSM6/METTL14/REST/YTHDC1	5	"RNA splicing, via transesterification reactions"	BP
GO:0000097	GO:0000097	1/192	10/11754	0.151903715	0.856927543	0.856927543	ENOPH1	1	sulfur amino acid biosynthetic process	BP
GO:0000099	GO:0000099	1/192	10/11754	0.151903715	0.856927543	0.856927543	SLC7A11	1	sulfur amino acid transmembrane transporter activity	MF
GO:0000290	GO:0000290	1/192	10/11754	0.151903715	0.856927543	0.856927543	NOCT	1	deadenylation-dependent decapping of nuclear-transcribed mRNA	BP
GO:0000291	GO:0000291	1/192	10/11754	0.151903715	0.856927543	0.856927543	EXOSC9	1	"nuclear-transcribed mRNA catabolic process, exonucleolytic"	BP
GO:0000338	GO:0000338	1/192	10/11754	0.151903715	0.856927543	0.856927543	COPS4	1	protein deneddylation	BP
GO:0004707	GO:0004707	1/192	10/11754	0.151903715	0.856927543	0.856927543	MAPK10	1	MAP kinase activity	MF
GO:0005545	GO:0005545	1/192	10/11754	0.151903715	0.856927543	0.856927543	WDFY3	1	1-phosphatidylinositol binding	MF
GO:0007000	GO:0007000	1/192	10/11754	0.151903715	0.856927543	0.856927543	SMARCA5	1	nucleolus organization	BP
GO:0008212	GO:0008212	1/192	10/11754	0.151903715	0.856927543	0.856927543	REST	1	mineralocorticoid metabolic process	BP
GO:0009301	GO:0009301	1/192	10/11754	0.151903715	0.856927543	0.856927543	LARP7	1	snRNA transcription	BP
GO:0010801	GO:0010801	1/192	10/11754	0.151903715	0.856927543	0.856927543	PPEF2	1	negative regulation of peptidyl-threonine phosphorylation	BP
GO:0010804	GO:0010804	1/192	10/11754	0.151903715	0.856927543	0.856927543	PPP2CB	1	negative regulation of tumor necrosis factor-mediated signaling pathway	BP
GO:0015721	GO:0015721	1/192	10/11754	0.151903715	0.856927543	0.856927543	SLC10A7	1	bile acid and bile salt transport	BP
GO:0017017	GO:0017017	1/192	10/11754	0.151903715	0.856927543	0.856927543	DUSP4	1	MAP kinase tyrosine/serine/threonine phosphatase activity	MF
GO:0021936	GO:0021936	1/192	10/11754	0.151903715	0.856927543	0.856927543	FGF2	1	regulation of cerebellar granule cell precursor proliferation	BP
GO:0031010	GO:0031010	1/192	10/11754	0.151903715	0.856927543	0.856927543	SMARCA5	1	ISWI-type complex	CC
GO:0031943	GO:0031943	1/192	10/11754	0.151903715	0.856927543	0.856927543	REST	1	regulation of glucocorticoid metabolic process	BP
GO:0032261	GO:0032261	1/192	10/11754	0.151903715	0.856927543	0.856927543	DCK	1	purine nucleotide salvage	BP
GO:0032341	GO:0032341	1/192	10/11754	0.151903715	0.856927543	0.856927543	REST	1	aldosterone metabolic process	BP
GO:0032351	GO:0032351	1/192	10/11754	0.151903715	0.856927543	0.856927543	REST	1	negative regulation of hormone metabolic process	BP
GO:0032790	GO:0032790	1/192	10/11754	0.151903715	0.856927543	0.856927543	ABCE1	1	ribosome disassembly	BP
GO:0033690	GO:0033690	1/192	10/11754	0.151903715	0.856927543	0.856927543	HPSE	1	positive regulation of osteoblast proliferation	BP
GO:0034472	GO:0034472	1/192	10/11754	0.151903715	0.856927543	0.856927543	EXOSC9	1	snRNA 3'-end processing	BP
GO:0034650	GO:0034650	1/192	10/11754	0.151903715	0.856927543	0.856927543	REST	1	cortisol metabolic process	BP
GO:0043455	GO:0043455	1/192	10/11754	0.151903715	0.856927543	0.856927543	SLC7A11	1	regulation of secondary metabolic process	BP
GO:0043501	GO:0043501	1/192	10/11754	0.151903715	0.856927543	0.856927543	MYOZ2	1	skeletal muscle adaptation	BP
GO:0045822	GO:0045822	1/192	10/11754	0.151903715	0.856927543	0.856927543	PDE5A	1	negative regulation of heart contraction	BP
GO:0048021	GO:0048021	1/192	10/11754	0.151903715	0.856927543	0.856927543	SLC7A11	1	regulation of melanin biosynthetic process	BP
GO:0051386	GO:0051386	1/192	10/11754	0.151903715	0.856927543	0.856927543	SPRY1	1	regulation of neurotrophin TRK receptor signaling pathway	BP
GO:0051602	GO:0051602	1/192	10/11754	0.151903715	0.856927543	0.856927543	REST	1	response to electrical stimulus	BP
GO:0060019	GO:0060019	1/192	10/11754	0.151903715	0.856927543	0.856927543	METTL14	1	radial glial cell differentiation	BP
GO:0060416	GO:0060416	1/192	10/11754	0.151903715	0.856927543	0.856927543	LEPROTL1	1	response to growth hormone	BP
GO:0060644	GO:0060644	1/192	10/11754	0.151903715	0.856927543	0.856927543	FGF2	1	mammary gland epithelial cell differentiation	BP
GO:0070679	GO:0070679	1/192	10/11754	0.151903715	0.856927543	0.856927543	TRPC3	1	"inositol 1,4,5 trisphosphate binding"	MF
GO:0071498	GO:0071498	1/192	10/11754	0.151903715	0.856927543	0.856927543	PKD2	1	cellular response to fluid shear stress	BP
GO:0072224	GO:0072224	1/192	10/11754	0.151903715	0.856927543	0.856927543	FGF2	1	metanephric glomerulus development	BP
GO:0086014	GO:0086014	1/192	10/11754	0.151903715	0.856927543	0.856927543	ANK2	1	atrial cardiac muscle cell action potential	BP
GO:0086026	GO:0086026	1/192	10/11754	0.151903715	0.856927543	0.856927543	ANK2	1	atrial cardiac muscle cell to AV node cell signaling	BP
GO:0086066	GO:0086066	1/192	10/11754	0.151903715	0.856927543	0.856927543	ANK2	1	atrial cardiac muscle cell to AV node cell communication	BP
GO:0090312	GO:0090312	1/192	10/11754	0.151903715	0.856927543	0.856927543	SMARCA5	1	positive regulation of protein deacetylation	BP
GO:0097152	GO:0097152	1/192	10/11754	0.151903715	0.856927543	0.856927543	EDNRA	1	mesenchymal cell apoptotic process	BP
GO:1900376	GO:1900376	1/192	10/11754	0.151903715	0.856927543	0.856927543	SLC7A11	1	regulation of secondary metabolite biosynthetic process	BP
GO:1901533	GO:1901533	1/192	10/11754	0.151903715	0.856927543	0.856927543	METTL14	1	negative regulation of hematopoietic progenitor cell differentiation	BP
GO:1902931	GO:1902931	1/192	10/11754	0.151903715	0.856927543	0.856927543	REST	1	negative regulation of alcohol biosynthetic process	BP
GO:1903523	GO:1903523	1/192	10/11754	0.151903715	0.856927543	0.856927543	PDE5A	1	negative regulation of blood circulation	BP
GO:1903779	GO:1903779	1/192	10/11754	0.151903715	0.856927543	0.856927543	ANK2	1	regulation of cardiac conduction	BP
GO:1990247	GO:1990247	1/192	10/11754	0.151903715	0.856927543	0.856927543	YTHDC1	1	N6-methyladenosine-containing RNA binding	MF
GO:2000767	GO:2000767	1/192	10/11754	0.151903715	0.856927543	0.856927543	HNRNPD	1	positive regulation of cytoplasmic translation	BP
GO:0001704	GO:0001704	3/192	83/11754	0.15409668	0.856927543	0.856927543	DUSP4/FGF2/SMAD1	3	formation of primary germ layer	BP
GO:0045598	GO:0045598	3/192	83/11754	0.15409668	0.856927543	0.856927543	BBS12/CDS1/NOCT	3	regulation of fat cell differentiation	BP
GO:0045766	GO:0045766	3/192	83/11754	0.15409668	0.856927543	0.856927543	FGF2/GAB1/SMAD1	3	positive regulation of angiogenesis	BP
GO:1904018	GO:1904018	3/192	83/11754	0.15409668	0.856927543	0.856927543	FGF2/GAB1/SMAD1	3	positive regulation of vasculature development	BP
GO:0060047	GO:0060047	4/192	127/11754	0.154172559	0.856927543	0.856927543	ANK2/EDNRA/HOPX/PDE5A	4	heart contraction	BP
GO:0005643	GO:0005643	2/192	43/11754	0.155570204	0.856927543	0.856927543	MAD2L1/NUP54	2	nuclear pore	CC
GO:0016209	GO:0016209	2/192	43/11754	0.155570204	0.856927543	0.856927543	GSR/MGST2	2	antioxidant activity	MF
GO:0042116	GO:0042116	2/192	43/11754	0.155570204	0.856927543	0.856927543	MFHAS1/STAP1	2	macrophage activation	BP
GO:0045600	GO:0045600	2/192	43/11754	0.155570204	0.856927543	0.856927543	CDS1/NOCT	2	positive regulation of fat cell differentiation	BP
GO:0050764	GO:0050764	2/192	43/11754	0.155570204	0.856927543	0.856927543	IL15/STAP1	2	regulation of phagocytosis	BP
GO:0044843	GO:0044843	4/192	128/11754	0.15725389	0.856927543	0.856927543	ANKRD17/CCNA2/JADE1/PKD2	4	cell cycle G1/S phase transition	BP
GO:0005814	GO:0005814	3/192	84/11754	0.158006409	0.856927543	0.856927543	CETN1/INTU/PLK4	3	centriole	CC
GO:0051783	GO:0051783	3/192	84/11754	0.158006409	0.856927543	0.856927543	EPGN/EREG/MAD2L1	3	regulation of nuclear division	BP
GO:2000045	GO:2000045	3/192	84/11754	0.158006409	0.856927543	0.856927543	ANKRD17/JADE1/PKD2	3	regulation of G1/S transition of mitotic cell cycle	BP
GO:0043043	GO:0043043	10/192	425/11754	0.158166302	0.856927543	0.856927543	ABCE1/CNOT6L/EXOSC9/HNRNPD/METTL14/MGST2/MRPS18C/NOCT/RCHY1/SLC7A11	10	peptide biosynthetic process	BP
GO:0051235	GO:0051235	5/192	175/11754	0.158659862	0.856927543	0.856927543	ALB/ANK2/CDS1/FGF2/PKD2	5	maintenance of location	BP
GO:0045664	GO:0045664	4/192	129/11754	0.16035815	0.856927543	0.856927543	FGF2/METTL14/POU4F2/REST	4	regulation of neuron differentiation	BP
GO:0032206	GO:0032206	2/192	44/11754	0.161319758	0.856927543	0.856927543	HNRNPD/TNKS	2	positive regulation of telomere maintenance	BP
GO:0035904	GO:0035904	2/192	44/11754	0.161319758	0.856927543	0.856927543	EDNRA/PKD2	2	aorta development	BP
GO:0035924	GO:0035924	2/192	44/11754	0.161319758	0.856927543	0.856927543	ADAMTS3/GAB1	2	cellular response to vascular endothelial growth factor stimulus	BP
GO:0043489	GO:0043489	2/192	44/11754	0.161319758	0.856927543	0.856927543	HNRNPD/NOCT	2	RNA stabilization	BP
GO:0060425	GO:0060425	2/192	44/11754	0.161319758	0.856927543	0.856927543	HHIP/SPRY1	2	lung morphogenesis	BP
GO:0050776	GO:0050776	9/192	376/11754	0.162776454	0.856927543	0.856927543	ALPK1/ANKRD17/EREG/IL15/MFHAS1/OTUD4/STAP1/TIFA/TNIP3	9	regulation of immune response	BP
GO:0008168	GO:0008168	4/192	130/11754	0.163484924	0.856927543	0.856927543	METTL14/PRDM8/PRMT9/SETD7	4	methyltransferase activity	MF
GO:0019932	GO:0019932	4/192	130/11754	0.163484924	0.856927543	0.856927543	ANK2/MYOZ2/NDNF/PDE5A	4	second-messenger-mediated signaling	BP
GO:0002689	GO:0002689	1/192	11/11754	0.165769049	0.856927543	0.856927543	STAP1	1	negative regulation of leukocyte chemotaxis	BP
GO:0006691	GO:0006691	1/192	11/11754	0.165769049	0.856927543	0.856927543	MGST2	1	leukotriene metabolic process	BP
